IDENTIFIER	GSM1095883	GSM1095886	GSM1095877	GSM1095878	GSM1095879	GSM1095880	GSM1095881	GSM1095882	GSM1095884	GSM1095885	GSM1095876
CACNG5	39.3	120.7	79.2	75.5	130.4	153.3	171.4	134.2	81.5	117.1	121
LINC00308	8.6	45.2	41.7	71.6	25.4	12.4	3.9	55.9	14.2	7	6
LINC00308	6.1	39.5	15.5	24.4	27.3	7	9.9	3.2	14	7.5	2.7
FAM223A	277.6	9.9	136.2	182.9	128.7	183.9	6.6	100.5	59.5	151.8	174
WFDC11	7.4	38.3	4	41.8	11.2	6.5	11.5	7.9	2.9	6.1	9.4
IFNL3	35.7	16.2	67.1	60.9	48.6	11.2	16	29	7.2	7.4	53.9
JAK1	91.9	66.1	151.3	69.7	111	342.8	44.4	91	180.1	51	133.9
JAK1	87.3	182.6	174.3	199	136.7	365.5	93.1	88.6	208	129.3	114.8
CDC42SE2	410.8	394.5	159.5	77.7	193.4	148.1	631.1	161.9	185.9	180.9	140
CDC42SE2	626.3	653.9	99.5	65.2	205.6	135.9	562.8	230	216.7	226.9	221.4
ACACB	473	489.4	743.9	440.5	466.3	603.1	395.5	341.7	324.2	473.4	481.2
ACACB	105.2	24.8	60.3	60.9	47.2	76	97.3	16.1	9.5	15.3	74.1
RFWD2	189.5	198.8	219.8	89.2	97.7	216.4	162.5	161.7	394	561.5	292.5
STX6	309	243.2	164.5	262	254	174	13.9	344.8	344.3	479	149.6
ANLN	36.5	98.6	86.6	12.2	72.8	71.6	13	43.8	106.7	124.2	27.8
SPRR4	121	204.2	248.6	186.6	239.5	423.1	239.9	45.3	189.3	82.7	330.4
UPK3BL	124.3	191.2	578.3	719.6	1716.4	1855.6	123.9	501.1	243.8	141.5	1549.8
UPK3BL	108.3	66.3	233.4	340.9	851.2	819.8	56.6	160	98	76.7	789.8
HSH2D	78.7	110.2	60.3	106.5	20.4	148.1	131.4	42.4	142.6	134.9	149.5
TRNT1	524.6	341.2	292.2	422.7	400	258.9	103.7	312.4	156.7	771.5	419.8
TMEM163	14.2	32.2	65.2	11.8	14.4	47.1	415.8	129.9	6.6	43.6	105.6
ARHGAP5	139.7	23.1	29.5	70.5	47.2	43.4	103.4	69	1	31.6	52.3
HERPUD2	844.4	464.1	566.7	1008.6	422.8	637.4	1492.8	620.1	321.7	401.6	699.5
JMJD6	2.5	4.2	5.6	11.8	10.6	24.5	7.1	12.5	5	6.7	3.9
SRCAP	21.6	39.1	15.4	22.7	22.4	11.2	27.3	6.1	11.8	16.1	17.2
MAP3K6	37	35.3	115.8	98.5	27.8	45.9	23.4	58.1	130.6	20.1	36.5
ARSG	9.2	232.5	213.5	67.1	226.3	76.9	3.4	92.8	221.5	68.3	57.3
ZNF101	83.8	152	98.1	36.6	116.9	219.1	87.2	15.8	137	84.9	260.4
ZNF101	13.5	91.4	102.7	204.4	105.2	172.3	72.1	75.9	155.1	197.5	181.3
PTPN11	8.8	30.5	8.6	7.1	26.4	6.4	11.1	4.9	44.9	10.2	3.2
KLHDC7B	117.9	79.7	118.9	11.3	17.2	14.1	77.9	6.2	21.2	71.3	100.7
ATAD3B	25.7	14	30.6	176.5	104.4	32.2	18.6	15.9	25.3	6.9	28.1
ZNF626	460.2	966.6	473	441	231	558.6	49	472.3	646.8	542.6	258.8
PHC3	37.5	69.3	113.7	261.5	394.9	226.9	93.7	70.2	128.1	120.9	242.4
IL11RA	292.1	189.5	214	280.8	211.4	449.5	190.4	131.6	186.6	238.9	233.5
TNFRSF10A	43.2	113.5	147.8	13.2	151.4	80.2	70.1	215	90.7	86.1	51.3
RAD51L3-RFFL	116	101.9	52.7	24.1	100.6	103.4	46.9	22.3	244.1	158.8	106.8
RAD51L3-RFFL	410.1	388.4	390	88.1	195.8	192.4	27	104.7	429.3	455.3	230
HPS4	218.8	187.1	436	395.4	361	414.5	131.9	322.7	243	349.5	365.2
UHMK1	17.9	19	84.7	4.2	102.6	41.9	23.5	57.9	17.3	135.2	92.9
